"","MGS","pvalue","cohort","padjust","meanTE","stdevTE","robustDA","comparison","enrichedIn","stdevTE.IBDHC","IBDHC","stdevTE.CDHC","CDHC","stdevTE.UCHC","UCHC","stdevTE.CDUC","CDUC","sigcorr","rho2","measure","effect","sample"
"44","Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella sp002391315;MGS.1445",0.00150632014692737,"Zuo",0.0568681057151009,"2.32374429808126","0.0701030405746885","robust","IBD-HC","control","0.0701030405746885","robust","0.089556311590544","robust","0.052478495624554","variable","0.173141672006718","non-sig","significant",-0.414191900818065,"meanTE.UCHC","1.44423491589568","cross"
"45","Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella sp002391315;MGS.1445",0.00150632014692737,"Zuo",0.0568681057151009,"2.32374429808126","0.0701030405746885","robust","IBD-HC","control","0.0701030405746885","robust","0.089556311590544","robust","0.052478495624554","variable","0.173141672006718","non-sig","significant",-0.414191900818065,"meanTE.CDUC","0.860003268540864","cross"
"46","Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella sp002391315;MGS.1445",3.62583474084921e-06,"IFIBD",0.000221578789718563,"2.32374429808126","0.0701030405746885","robust","IBD-HC","control","0.0701030405746885","robust","0.089556311590544","robust","0.052478495624554","variable","0.173141672006718","non-sig","significant",-0.306471512986368,"rho","-0.306471512986368","cross"
"47","Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella sp002391315;MGS.1445",3.62583474084921e-06,"IFIBD",0.000221578789718563,"2.32374429808126","0.0701030405746885","robust","IBD-HC","control","0.0701030405746885","robust","0.089556311590544","robust","0.052478495624554","variable","0.173141672006718","non-sig","significant",-0.306471512986368,"meanTE.IBDHC","2.32374429808126","cross"
"48","Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella sp002391315;MGS.1445",3.62583474084921e-06,"IFIBD",0.000221578789718563,"2.32374429808126","0.0701030405746885","robust","IBD-HC","control","0.0701030405746885","robust","0.089556311590544","robust","0.052478495624554","variable","0.173141672006718","non-sig","significant",-0.306471512986368,"meanTE.CDHC","2.87314156805554","cross"
"49","Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella sp002391315;MGS.1445",3.62583474084921e-06,"IFIBD",0.000221578789718563,"2.32374429808126","0.0701030405746885","robust","IBD-HC","control","0.0701030405746885","robust","0.089556311590544","robust","0.052478495624554","variable","0.173141672006718","non-sig","significant",-0.306471512986368,"meanTE.UCHC","1.44423491589568","cross"
"50","Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella sp002391315;MGS.1445",3.62583474084921e-06,"IFIBD",0.000221578789718563,"2.32374429808126","0.0701030405746885","robust","IBD-HC","control","0.0701030405746885","robust","0.089556311590544","robust","0.052478495624554","variable","0.173141672006718","non-sig","significant",-0.306471512986368,"meanTE.CDUC","0.860003268540864","cross"
"51","Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella sp002391315;MGS.1445",0.0157685886324592,"Tian",0.0545453255330171,"2.32374429808126","0.0701030405746885","robust","IBD-HC","control","0.0701030405746885","robust","0.089556311590544","robust","0.052478495624554","variable","0.173141672006718","non-sig","significant",-0.211384921704215,"rho","-0.211384921704215","cross"
"52","Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella sp002391315;MGS.1445",0.0157685886324592,"Tian",0.0545453255330171,"2.32374429808126","0.0701030405746885","robust","IBD-HC","control","0.0701030405746885","robust","0.089556311590544","robust","0.052478495624554","variable","0.173141672006718","non-sig","significant",-0.211384921704215,"meanTE.IBDHC","2.32374429808126","cross"
"53","Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella sp002391315;MGS.1445",0.0157685886324592,"Tian",0.0545453255330171,"2.32374429808126","0.0701030405746885","robust","IBD-HC","control","0.0701030405746885","robust","0.089556311590544","robust","0.052478495624554","variable","0.173141672006718","non-sig","significant",-0.211384921704215,"meanTE.CDHC","2.87314156805554","cross"
"54","Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella sp002391315;MGS.1445",0.0157685886324592,"Tian",0.0545453255330171,"2.32374429808126","0.0701030405746885","robust","IBD-HC","control","0.0701030405746885","robust","0.089556311590544","robust","0.052478495624554","variable","0.173141672006718","non-sig","significant",-0.211384921704215,"meanTE.UCHC","1.44423491589568","cross"
"55","Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella sp002391315;MGS.1445",0.0157685886324592,"Tian",0.0545453255330171,"2.32374429808126","0.0701030405746885","robust","IBD-HC","control","0.0701030405746885","robust","0.089556311590544","robust","0.052478495624554","variable","0.173141672006718","non-sig","significant",-0.211384921704215,"meanTE.CDUC","0.860003268540864","cross"
"56","Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Adlercreutzia;Adlercreutzia celatus_A;MGS.1483",1.7785246910645e-05,"IFIBD",0.000815157150071228,"1.75616810648293","0.0882628529283199","robust","IBD-HC","control","0.0882628529283199","robust","0.10884338261551","variable","0.105579669889379","robust","0.11053715500075","non-sig","significant",-0.284905314200355,"rho","-0.284905314200355","cross"
"57","Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Adlercreutzia;Adlercreutzia celatus_A;MGS.1483",1.7785246910645e-05,"IFIBD",0.000815157150071228,"1.75616810648293","0.0882628529283199","robust","IBD-HC","control","0.0882628529283199","robust","0.10884338261551","variable","0.105579669889379","robust","0.11053715500075","non-sig","significant",-0.284905314200355,"meanTE.IBDHC","1.75616810648293","cross"
"58","Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Adlercreutzia;Adlercreutzia celatus_A;MGS.1483",1.7785246910645e-05,"IFIBD",0.000815157150071228,"1.75616810648293","0.0882628529283199","robust","IBD-HC","control","0.0882628529283199","robust","0.10884338261551","variable","0.105579669889379","robust","0.11053715500075","non-sig","significant",-0.284905314200355,"meanTE.CDHC","2.10730814487694","cross"
"59","Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Adlercreutzia;Adlercreutzia celatus_A;MGS.1483",1.7785246910645e-05,"IFIBD",0.000815157150071228,"1.75616810648293","0.0882628529283199","robust","IBD-HC","control","0.0882628529283199","robust","0.10884338261551","variable","0.105579669889379","robust","0.11053715500075","non-sig","significant",-0.284905314200355,"meanTE.UCHC","1.98446137098979","cross"
"60","Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Adlercreutzia;Adlercreutzia celatus_A;MGS.1483",1.7785246910645e-05,"IFIBD",0.000815157150071228,"1.75616810648293","0.0882628529283199","robust","IBD-HC","control","0.0882628529283199","robust","0.10884338261551","variable","0.105579669889379","robust","0.11053715500075","non-sig","significant",-0.284905314200355,"meanTE.CDUC","0.0484901439992543","cross"
