"MGS"	"meanTE"	"stdevTE"	"robustDA"	"comparison"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes onderdonkii;MGS.374"	2.37647473696483	0.064357374222368	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Eisenbergiella;Eisenbergiella intestinigallinarum;MGS.890"	2.11391741355157e-15	1.76526553916045e-15	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus_D;Ruminococcus_D bicirculans;MGS.115"	3.24107235235916	0.0781814648271036	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Monoglobales;Monoglobaceae;Monoglobus;Monoglobus pectinilyticus;MGS.2"	0.0656632702251073	0.0848186849893662	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Butyribacter;Butyribacter intestini;MGS.371"	1.44645169042426	0.0568963364048721	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster sp900538485;MGS.1144"	-3.94073830554419e-08	8.24925504620009e-08	"non-sig"	"IBD-HC"
"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides goldsteinii;MGS.872"	0.392739646331108	0.0235325435220268	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;CAG-317;CAG-317 sp000433535;MGS.1375"	-0.297006142993041	0.0266797790229992	"non-sig"	"IBD-HC"
"Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium bifidum;MGS.351"	-0.831245833231388	0.0705315831935076	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Eisenbergiella;Eisenbergiella sp900555195;MGS.687"	8.63617424997889e-15	4.09000071910619e-15	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster lavalensis;MGS.1498"	-0.550346139259105	0.0374478134943501	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus_C;Ruminococcus_C callidus;MGS.741"	1.45598849459855	0.103949379284883	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Christensenellales;CAG-74;Ventricola;Ventricola sp900542395;MGS.1019"	2.78614661083456	0.0499945676611633	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Ruminococcus_B;Ruminococcus_B gnavus;MGS.458"	-4.32258276413951	0.0917120643328979	"robust"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;CAG-83;CAG-83 sp900545585;MGS.881"	0.800324499560204	0.0220931561776213	"variable"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;UBA1394;UBA1394 sp900066845;MGS.575"	7.39692574330663e-11	3.20578354996205e-10	"non-sig"	"IBD-HC"
"Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Butyricicoccaceae;Agathobaculum;Agathobaculum sp900291975;MGS.815"	-1.20394540933076e-09	2.26908887327141e-09	"non-sig"	"IBD-HC"
